新北市立圖書館106年09月最新到館館藏清單,,,,,
序號,條碼號,書目資訊,館藏地,索書號,資料類型
1,A2572988,"力量 : 重生之後 / 王薀著臺北市 : 捨慧, 2017.04 初版",八里開架閱覽,192.1 845,中文圖書
2,A2142789,"上課了!生物多樣性. 4 : 綠色經濟幸福學 / 中山節子等作臺北市 : 農委會林務局, 臺灣環境資訊協會, 2015.12 初版",八里開架閱覽,360.15 7667 v.4,中文圖書
3,A2578057,"大漠男兒 : 武士嵩回憶錄 / 武士嵩作 臺北市 : 黎明文化, 2017.01 初版",八里開架閱覽,783.3886 8345,中文圖書
4,A1274997,"有錢人都用透明夾 : 不用記帳, 一年存款就能高達五十萬日幣的超簡單理財法 / 市野瀨克己著 ; 賴郁婷譯臺北市 : 遠流, 2017.07 初版",八里開架閱覽,421.5 8462,中文圖書
5,A1273963,我們為何工作? / 貝瑞.史瓦茲(Barry Schwartz)著 ; 李芳齡譯臺北市 : 天下雜誌出版 ; 2016.04 第一版,八里開架閱覽,494.35 8834,中文圖書
6,A2142795,"術数師. 5, 先知瑪雅的預知夢 / 天航(KIM)著 ; 有頂天99繪臺北市 : 蓋亞出版 ; 2015.10 初版",八里開架閱覽,857.7 876 v.5,中文圖書
7,A2136620,"發聲與行動 : 大學教師的學術勞動與性別運動 / 陳惠馨等作臺北市 : 女書, 2016.06 初版",八里開架閱覽,544.5207 8734,中文圖書
8,A2573003,"1本讀懂互聯網+ = Change with the internet / 楊智翔, 陳亮著新北市中和區 : 創見出版 : 2017.04 初版",三芝開架閱覽,496 8663,中文圖書
9,A2578008,"大漠男兒 : 武士嵩回憶錄 / 武士嵩作 臺北市 : 黎明文化, 2017.01 初版",三芝開架閱覽,783.3886 8345,中文圖書
10,A2573012,"冰盒甜點 : 不用烤! 1攪2疊3冰, 80道美味蛋糕、塔派、餅乾、布丁、冰淇淋輕鬆完成! / 茱莉安.拜爾(Julianne Bayer)著 ; 何修瑜譯臺北市 : 馬可孛羅出版 : 2017.05 初版",三芝開架閱覽,427.16 873,中文圖書
11,A1273953,"兒童心理學 : 為什麼孩子都有這些壞習慣 / 張蕊顏著 新北市 : 大智文化出版, : 2017.05",三芝開架閱覽,528.2 8742,中文圖書
12,A1273865,"青苔不會消失 : 附著在土地上既邊緣又無人問津的一群人 / 袁凌作臺北市 : 時報文化, 2017.07 初版",三芝開架閱覽,857.85 876,中文圖書
13,A1273894,"情緒勒索 : 那些在伴侶、親子、職場間, 最讓人窒息的相處 / 周慕姿著臺北市 : 寶瓶出版 ; 2017.02 初版",三芝開架閱覽,176.52 8643,中文圖書
14,A2139233,細雨日遲遲 / 仲冬著臺北市 : 女書出版 ; 2014.02 初版,三芝開架閱覽,857.63 875,中文圖書
15,A2578019,"大漠男兒 : 武士嵩回憶錄 / 武士嵩作 臺北市 : 黎明文化, 2017.01 初版",三重五常開架閱覽,783.3886 8345,中文圖書
16,A1273934,"用12個習慣祝福自己 : 養成免疫力. 學習力. 判斷力 = Enrich your life with 12 good habits / 褚士瑩著臺北市 : 大田出版有限公司出版, 2016.10 初版",三重五常開架閱覽,177.2 8342,中文圖書
17,A1273835,"金錢整理 : 只要收拾存摺、冰箱和另一半, 錢會自然流向你 / 市居愛著 ; 林詠純譯臺北市 : 先覺出版 : 2017.06 初版",三重五常開架閱覽,421.1 8449,中文圖書
18,A2143403,紅色英勇勳章 / 史蒂芬.克萊恩(Stephen Crane)著 ; 陳榮彬譯臺北市 : 群星出版 ; 2016.05,三重五常開架閱覽,874.57 858,中文圖書
19,A1273884,設計師不傳的私房秘技 : 小坪數設計500 / 漂亮家居編輯部著臺北市 : 麥浩斯出版 : 2017.01 二版,三重五常開架閱覽,422.5 8246,中文圖書
20,A2143357,"最適合新手入門的400道料理 / 楊桃文化作 ; 葉仁琛, 陳俊吉, 潘令傑攝影臺北市 : 楊桃出版 ; [2016.06] 初版",三重五常開架閱覽,427.1 8636,中文圖書
21,A2572963,"愛因斯坦最大的錯誤 : 世紀天才的人性弱點 / 波戴尼(David Bodanis)著 ; 黃靜雅譯臺北市 : 遠見天下文化, 2017.07 第一版 ",三重五常開架閱覽,785.28 8635,中文圖書
22,A2142376,"100％滿分命中奇蹟 : 7000英文單字X文法 + 句型 + 片語 : 想要創造英文奇蹟, 靠這本就能搞定 / 許豪作臺北市 : 捷徑出版 ; 2016.08 初版",三重田中開架閱覽,805.18 846,中文圖書
23,A2141589,"Google最受歡迎的正念課 : 每次開課數百人爭取, 臉書、高盛、麥肯錫紛紛引進, 他們這樣培養未來需要的人才 / 荻野淳也, 木蔵シャフェ君子, 吉田典生著 ; 張婷婷譯臺北市 : 大是, 2016.07 初版",三重田中開架閱覽,494.35 7863,中文圖書
24,A2143838,下一波全球新貨幣 : 黃金 / 詹姆斯.瑞卡茲(James Rickards)著 ; 吳國卿譯臺北市 : 聯經出版 ; 2017.05 初版,三重田中開架閱覽,561.31 8544,中文圖書
25,A2142628,大眾臉先生 / 喬爾.艾格羅夫(Joel Egloff)著 ; 周明佳譯臺北市 : 聯合文學出版 ; 2017.01 初版,三重田中開架閱覽,876.57 8845,中文圖書
26,A2578018,"大漠男兒 : 武士嵩回憶錄 / 武士嵩作 臺北市 : 黎明文化, 2017.01 初版",三重田中開架閱覽,783.3886 8345,中文圖書
27,A2140562,"小說之神就是你 : 暢銷作家百萬滾錢術, 你不可不知的寫作心機 / 紀昭君著臺北市 : 釀出版出版 : 2016.07 BOD一版",三重田中開架閱覽,812.71 8754,中文圖書
28,A2139513,"天生是英雄 / 克里斯多福.麥杜格(Christopher McDougall)作 ; 王湘菲譯臺北市 : 遠流, 2016.04 初版",三重田中開架閱覽,411.71 8344,中文圖書
29,A2141037,"心理大師教你學會神探窺心術 : 偵察空間線索, 解讀行為痕跡, 任何人想什麼、做了什麼, 你皆能看穿! / 山姆.高斯林(Sam Gosling)著 ; 洪士美譯臺北市 : 方言, 2016.01 初版",三重田中開架閱覽,176.8 8657,中文圖書
30,A2140265,"日本語言學校都在教的日語會話課 / 岡田麻理, 蕭意諭作臺北市 : 懶鬼子英日語出版 ; 2016.06 初版",三重田中開架閱覽,803.188 7656,中文圖書
31,A2135955,他們眼望上蒼 / 柔拉.涅爾.賀絲頓(Zora Neale Hurston)著 ; 王遠洋譯臺北市 : 聯合文學出版 ; 2017.04 初版,三重田中開架閱覽,874.57 8353,中文圖書
32,A2140021,"半路上 / 陳舜臣作 ; 林琪禎, 黃耀進譯臺北市 : 游擊出版 : 2016.07 初版",三重田中開架閱覽,783.18 7775,中文圖書
33,A2138174,"占星求神不如問哲學 : 向古今60位最重要哲學家學思考, 從愛恨生死柴米油鹽到人生根本, 所有問題通通有解! / 富增章成著 ; 徐雪蓉譯臺北市 : 三采, 2017.06",三重田中開架閱覽,100 7344,中文圖書
34,A2141083,卡瓦納 x 京都自由自在 / 卡瓦納著臺北市 : 高寶出版 : 2017.07 初版,三重田中開架閱覽,731.75219 8435,中文圖書
35,A2138061,"失控的自信 : 拿掉自大, 你的自信才攻不可破! / 萊恩.霍利得(Ryan Holiday)著 ; 李之年譯臺北市 : 三采, 2017.06",三重田中開架閱覽,177.2 8475,中文圖書
36,A2141863,必然 : 掌握形塑未來30年的12科技大趨力 / 凱文.凱利(Kevin Kelly)著 ; 嚴麗娟譯臺北市 : 貓頭鷹出版 : 2017.06 初版,三重田中開架閱覽,541.41 857,中文圖書
37,A2138975,"用故事的方式學幾何 / 中田壽幸作 ; 蘇暐婷譯臺北市 : 采實, 2017.04 初版",三重田中開架閱覽,523.32 7653,中文圖書
38,A2133991,"因為愛, 我們呼吸 / 莉莎.潔諾娃(Lisa Genova)著 ; 林婉婷譯臺北市 : 高寶出版 : 2017.07 初版",三重田中開架閱覽,874.57 8236,中文圖書
39,A2131445,"地表最強日語會話15000 / 麥美弘著臺北市 : 我識, 2017.06 初版",三重田中開架閱覽,803.188 8363,中文圖書
40,A2132978,如何教出有邏輯力的孩子 / 三浦俊彥作 ; 余亮誾譯新北市新店區 : 人類智庫數位科技出版 : 2017.01,三重田中開架閱覽,528.2 7429,中文圖書
41,A2137407,羽健身 / 丁小羽著臺北市 : 如何出版 : 2017.07 初版,三重田中開架閱覽,425.2 8544,中文圖書
42,A2141954,"老科技的全球史 / 大衛.艾傑頓(David Edgerton)著 ; 李尚仁譯新北市新店區 : 遠足發行, 2016.12 初版",三重田中開架閱覽,409 8843,中文圖書
43,A2141366,至味在人間 : 跟著「舌尖上的中國」總導演品嚐大江南北的家鄉味 / 陳曉卿著臺北市 : 圓神出版 : 2016.09 初版,三重田中開架閱覽,427.07 8767,中文圖書
44,A2140369,妙用墊肩作の37個軟Q波奇包 / Boutique-Sha作 ; 周欣芃譯新北市板橋區 : Elegant - Boutique新手作出版 : 2016.06 初版,三重田中開架閱覽,426.7 8694,中文圖書
45,A2140867,"我的咖啡生活提案 : 產地選豆, 烘焙研磨, 沖出咖啡香 來杯「對味」咖啡開啟新的一天 / 陳春龍(Chung-Leng Tran), 賽巴斯汀.拉辛努(Sebastien Racineux)著 ; 亞尼斯.瓦盧西克斯(Yannis Varoutsikos)繪 ; 林琬淳譯2017.06 : 三采, 2017.06 初版",三重田中開架閱覽,427.42 8743,中文圖書
46,A2141615,"我是微商 : 從部落格、FB、Line@到微信, 向自媒體大師學習月入兩百萬的網路銷售術 / 徐東遙著臺北市 : 高寶出版 : 2016.04 初版",三重田中開架閱覽,496 8579,中文圖書
47,A2134023,"我為我工作 : 致, 身處逆境的職場半熟族 / 崴爺著臺北市 : 三采, 2017.05",三重田中開架閱覽,494.35 847,中文圖書
48,A2134109,"我無所畏 : 就算失去雙腳, 也要用意志跑完人生! / 傑夫.鮑曼(Jeff Bauman), 布雷.威特(Bret Witter)著 ; 林力敏譯臺北市 : 三采, 2017.05",三重田中開架閱覽,785.28 878,中文圖書
49,A2141996,技藝中的生活練習 / 妮娜.麥可拉弗林(Nina MacLaughlin)著 ; 駱香潔譯新北市新店區 : 行路出版 : 2016.11 初版,三重田中開架閱覽,785.27 8354,中文圖書
50,A2142533,京都自由行全攻略 / 昭文社作 ; 鄒玟羚譯新北市板橋區 : 楓書坊出版 ; 2016.08 初版,三重田中開架閱覽,731.75219 7563,中文圖書
51,A2140426,初學者の手作口金包完全攻略 : 85個超人氣小包Best collection / 主婦與生活社授權 ; 張鐸譯新北市板橋區 : 雅書堂出版 ; 2016.10 初版,三重田中開架閱覽,426.7 7373,中文圖書
52,A2139967,"和平的指導者, 神的人 : 島國女子歐陸留學記, 一趟想法翻轉的內在和平旅程 / 太陽光著 ; 張嘉芬插畫臺北市 : 明人出版 : 2017.05 初版",三重田中開架閱覽,863.55 8366,中文圖書
53,A2139671,奈良 : 女子散步 = Girls' strolling in Nara / 樂吃購!日本編輯部編著 ; 久岡寫真事務所攝影臺北市 : 吉日媒體集團發行 : 2016.06 初版,三重田中開架閱覽,731.755109 8965,中文圖書
54,A2140902,東京百選親子Go! : 大小朋友Fun心樂遊趣 / 就媽文.攝影臺北市 : 華成出版 ; 2016.09 初版,三重田中開架閱覽,731.72609 825,中文圖書
55,A2135765,青埔悠活 : 在地的美好時光 / 古蒙仁撰文.攝影臺北市 : 聯合文學出版 ; 2017.06 初版,三重田中開架閱覽,733.9411/4 8486,中文圖書
56,A2140982,"勇敢地為孩子改變 : 給台灣家長的一封長信 / 楊照作臺北市 : 時報, 2016.07 初版",三重田中開架閱覽,520.933 864,中文圖書
57,A2135900,為什麼我們愛得這麼累 / 加藤諦三作 ; 吳倩譯臺北市 : 寶瓶出版 ; 2016.12 初版,三重田中開架閱覽,544.37014 7444,中文圖書
58,A2138089,"美好的愛, 是先給自己幸福 / 女王著臺北市 : 圓神出版 : 2017.07 初版",三重田中開架閱覽,544.7 864,中文圖書
59,A2134444,"原來, 成功人士都這樣拜神許願 / 八木龍平著 ; 李池宗展譯臺北市 : 采實, 2017.06 初版",三重田中開架閱覽,175.9 7973,中文圖書
60,A2133964,"神之墜落 / 凱特.亞金森(Kate Atkinson)著 ; 游鈞雅譯臺北市 : 高寶, 2017.05 初版",三重田中開架閱覽,873.57 8467,中文圖書
61,A2143380,釜山 大邱 / Joyce Cheuk作香港 : 知出版出版 : 2016.10,三重田中開架閱覽,732.9 8667,中文圖書
62,A2141643,"將來的你, 一定會感謝現在拼命的自己 / 湯木著臺北市 : 高寶出版 : 2017.03 初版",三重田中開架閱覽,177.2 857,中文圖書
63,A2141732,"蛋黃哥懶人食譜 / SANRIO作 ; 錢亞東譯臺北市 : 尖端, 2016.02 初版",三重田中開架閱覽,427.26 8547,中文圖書
64,A2140454,"設計者不可不知の版面設計&製作運用圖解 / 佐々木剛士著 ; 黃立萍, 陳映璇譯新北市板橋區 : 良品文化館出版 ; 2016.04 初版",三重田中開架閱覽,964 7667,中文圖書
65,A2134052,"無聊的價值 : 學會留白, 不再愈忙愈空虛, 為人生注入樂趣、靈感與創意! / 珊迪.曼恩(Sandi Mann)著 ; 林力敏譯臺北市 : 三采, 2017.05",三重田中開架閱覽,177.2 884,中文圖書
66,A2141395,"超級好!用遊戲打倒生命裡的壞東西 : 50萬人親身見證的心理奇蹟 / 珍.麥高尼格(Jane McGonigal)著 ; 薛怡心, 陳繪茹譯臺北市 : 先覺出版 : 2016.11 初版",三重田中開架閱覽,178.2 8335,中文圖書
67,A2140695,開口吃遍USA美國食用英語 / EZ叢書館編輯部作臺北市 : 日月出版 ; 2016.03 初版,三重田中開架閱覽,805.18 8846,中文圖書
68,A2139246,"新手素描完全指南 / 3Dtotal Publishing原著 ; 張雅芳譯臺北市 : 碁峰資訊, 2016.06 初版",三重田中開架閱覽,947.16 8747,中文圖書
69,A2135709,照顧過敏兒這樣吃就對了 : 102道好吃、超簡單又健康的料理讓全家一起遠離病痛 / 阿醜作臺北市 : 日日幸福出版 ; 2016.07 初版,三重田中開架閱覽,427.1 853,中文圖書
70,A2142287,"經營者養成筆記 / 柳井正作 ; 迅銷集團, 林佑純譯臺北市 : 商業周刊出版 ; 2017.05 初版",三重田中開架閱覽,494.21 7554,中文圖書
71,A2134081,腳踏車大作戰 / 海法.曼蘇爾(Haifaa Al-Mansour)著 ; 楊孟華譯臺北市 : 高寶出版 : 2017.03 初版,三重田中開架閱覽,865.57 8538,中文圖書
